Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/06/1981,Australian Capital Territory,565,-131,434
1/06/1981,New South Wales,-6330,9281,2951
1/06/1981,Northern Territory,1806,400,2206
1/06/1981,Queensland,8558,4630,13188
1/06/1981,South Australia,-1675,1301,-374
1/06/1981,Tasmania,-274,194,-80
1/06/1981,Victoria,-3330,5533,2203
1/06/1981,Western Australia,680,3776,4456
1/09/1981,Australian Capital Territory,-15,152,137
1/09/1981,New South Wales,-7768,13284,5516
1/09/1981,Northern Territory,1264,279,1543
1/09/1981,Queensland,11740,4541,16281
1/09/1981,South Australia,-1846,2279,433
1/09/1981,Tasmania,-480,268,-212
1/09/1981,Victoria,-4897,8237,3340
1/09/1981,Western Australia,2002,5101,7103
1/12/1981,Australian Capital Territory,-824,383,-441
1/12/1981,New South Wales,-4528,13295,8767
1/12/1981,Northern Territory,935,416,1351
1/12/1981,Queensland,10128,4514,14642
1/12/1981,South Australia,-988,2692,1704
1/12/1981,Tasmania,-810,302,-508
1/12/1981,Victoria,-4354,8505,4151
1/12/1981,Western Australia,441,4375,4816
1/03/1982,Australian Capital Territory,-42,419,377
1/03/1982,New South Wales,-3824,12477,8653
1/03/1982,Northern Territory,468,215,683
1/03/1982,Queensland,7005,4008,11013
1/03/1982,South Australia,-602,1844,1242
1/03/1982,Tasmania,-106,207,101
1/03/1982,Victoria,-3393,7606,4213
1/03/1982,Western Australia,494,4600,5094
1/06/1982,Australian Capital Territory,711,271,982
1/06/1982,New South Wales,-3464,10337,6873
1/06/1982,Northern Territory,-598,273,-325
1/06/1982,Queensland,6580,4502,11082
1/06/1982,South Australia,-1439,1705,266
1/06/1982,Tasmania,-626,153,-473
1/06/1982,Victoria,-1785,6796,5011
1/06/1982,Western Australia,621,4081,4702
1/09/1982,Australian Capital Territory,-430,80,-350
1/09/1982,New South Wales,-5094,9593,4499
1/09/1982,Northern Territory,-47,93,46
1/09/1982,Queensland,8184,4244,12428
1/09/1982,South Australia,-722,1950,1228
1/09/1982,Tasmania,-555,185,-370
1/09/1982,Victoria,-1840,6164,4324
1/09/1982,Western Australia,504,4584,5088
1/12/1982,Australian Capital Territory,-98,209,111
1/12/1982,New South Wales,-4193,6138,1945
1/12/1982,Northern Territory,174,22,196
1/12/1982,Queensland,5730,1412,7142
1/12/1982,South Australia,60,1568,1628
1/12/1982,Tasmania,-328,216,-112
1/12/1982,Victoria,-1739,4394,2655
1/12/1982,Western Australia,394,2362,2756
1/03/1983,Australian Capital Territory,603,283,886
1/03/1983,New South Wales,-2809,6483,3674
1/03/1983,Northern Territory,285,244,529
1/03/1983,Queensland,3430,1876,5306
1/03/1983,South Australia,140,1783,1923
1/03/1983,Tasmania,-487,188,-299
1/03/1983,Victoria,-1196,5952,4756
1/03/1983,Western Australia,34,2405,2439
1/06/1983,Australian Capital Territory,913,-31,882
1/06/1983,New South Wales,-5085,3526,-1559
1/06/1983,Northern Territory,118,123,241
1/06/1983,Queensland,3487,1089,4576
1/06/1983,South Australia,194,1116,1310
1/06/1983,Tasmania,156,22,178
1/06/1983,Victoria,-361,3164,2803
1/06/1983,Western Australia,578,1858,2436
1/09/1983,Australian Capital Territory,-229,199,-30
1/09/1983,New South Wales,-2955,5174,2219
1/09/1983,Northern Territory,569,432,1001
1/09/1983,Queensland,2932,1187,4119
1/09/1983,South Australia,406,1253,1659
1/09/1983,Tasmania,54,128,182
1/09/1983,Victoria,-1221,3664,2443
1/09/1983,Western Australia,444,1607,2051
1/12/1983,Australian Capital Territory,584,120,704
1/12/1983,New South Wales,-3333,4901,1568
1/12/1983,Northern Territory,394,16,410
1/12/1983,Queensland,3080,426,3506
1/12/1983,South Australia,88,1032,1120
1/12/1983,Tasmania,105,271,376
1/12/1983,Victoria,-1139,3525,2386
1/12/1983,Western Australia,221,979,1200
1/03/1984,Australian Capital Territory,84,346,430
1/03/1984,New South Wales,-1565,4748,3183
1/03/1984,Northern Territory,-221,87,-134
1/03/1984,Queensland,2310,391,2701
1/03/1984,South Australia,-185,829,644
1/03/1984,Tasmania,-5,131,126
1/03/1984,Victoria,-155,3623,3468
1/03/1984,Western Australia,-263,862,599
1/06/1984,Australian Capital Territory,503,10,513
1/06/1984,New South Wales,-2414,5875,3461
1/06/1984,Northern Territory,-16,297,281
1/06/1984,Queensland,1637,1263,2900
1/06/1984,South Australia,244,855,1099
1/06/1984,Tasmania,541,129,670
1/06/1984,Victoria,-825,3918,3093
1/06/1984,Western Australia,330,820,1150
1/09/1984,Australian Capital Territory,-153,193,40
1/09/1984,New South Wales,-2640,7967,5327
1/09/1984,Northern Territory,417,242,659
1/09/1984,Queensland,3683,2196,5879
1/09/1984,South Australia,-601,948,347
1/09/1984,Tasmania,106,201,307
1/09/1984,Victoria,-1255,5051,3796
1/09/1984,Western Australia,443,1673,2116
1/12/1984,Australian Capital Territory,-235,-52,-287
1/12/1984,New South Wales,-1646,7376,5730
1/12/1984,Northern Territory,2,140,142
1/12/1984,Queensland,3639,1241,4880
1/12/1984,South Australia,-673,1320,647
1/12/1984,Tasmania,147,243,390
1/12/1984,Victoria,-1167,5112,3945
1/12/1984,Western Australia,-67,1788,1721
1/03/1985,Australian Capital Territory,155,495,650
1/03/1985,New South Wales,-1219,9033,7814
1/03/1985,Northern Territory,-237,350,113
1/03/1985,Queensland,3401,2081,5482
1/03/1985,South Australia,-156,1118,962
1/03/1985,Tasmania,14,187,201
1/03/1985,Victoria,-2328,6233,3905
1/03/1985,Western Australia,370,2362,2732
1/06/1985,Australian Capital Territory,1402,22,1424
1/06/1985,New South Wales,-3823,6903,3080
1/06/1985,Northern Territory,426,324,750
1/06/1985,Queensland,2197,2147,4344
1/06/1985,South Australia,-887,943,56
1/06/1985,Tasmania,510,138,648
1/06/1985,Victoria,-1049,3762,2713
1/06/1985,Western Australia,1224,1971,3195
1/09/1985,Australian Capital Territory,664,303,967
1/09/1985,New South Wales,-3549,9472,5923
1/09/1985,Northern Territory,466,386,852
1/09/1985,Queensland,4012,2639,6651
1/09/1985,South Australia,-659,1272,613
1/09/1985,Tasmania,-284,179,-105
1/09/1985,Victoria,-2754,6503,3749
